Date,Gross Value Added - Monthly (Index 1dp) :CVM SA
1997 JAN,63.8
1997 FEB,64.8
1997 MAR,64.9
1997 APR,65.2
1997 MAY,64.7
1997 JUN,65.2
1997 JUL,65.3
1997 AUG,65.4
1997 SEP,65.6
1997 OCT,65.8
1997 NOV,66.1
1997 DEC,66.4
1998 JAN,66.2
1998 FEB,66.7
1998 MAR,66.7
1998 APR,67.3
1998 MAY,67
1998 JUN,66.9
1998 JUL,67.3
1998 AUG,67.5
1998 SEP,67.7
1998 OCT,67.9
1998 NOV,68.1
1998 DEC,68.4
1999 JAN,68.2
1999 FEB,68.7
1999 MAR,68.8
1999 APR,68.3
1999 MAY,68.9
1999 JUN,68.9
1999 JUL,69.6
1999 AUG,69.7
1999 SEP,70
1999 OCT,70.5
1999 NOV,70.9
1999 DEC,70.9
2000 JAN,71.5
2000 FEB,71.5
2000 MAR,71.5
2000 APR,72
2000 MAY,72.1
2000 JUN,72.4
2000 JUL,72.2
2000 AUG,72.9
2000 SEP,72.8
2000 OCT,72.9
2000 NOV,72.9
2000 DEC,73.1
2001 JAN,73.2
2001 FEB,73.5
2001 MAR,73.8
2001 APR,73.9
2001 MAY,73.7
2001 JUN,73.8
2001 JUL,74
2001 AUG,74.1
2001 SEP,74
2001 OCT,74.1
2001 NOV,74
2001 DEC,74
2002 JAN,74.1
2002 FEB,74.1
2002 MAR,74.5
2002 APR,74.9
2002 MAY,75.4
2002 JUN,73.7
2002 JUL,74.9
2002 AUG,75
2002 SEP,75.5
2002 OCT,75.7
2002 NOV,75.9
2002 DEC,76
2003 JAN,76.2
2003 FEB,76.6
2003 MAR,76.5
2003 APR,77
2003 MAY,76.8
2003 JUN,77.3
2003 JUL,77.5
2003 AUG,77.6
2003 SEP,78.1
2003 OCT,78.2
2003 NOV,77.9
2003 DEC,78.4
2004 JAN,78.1
2004 FEB,78.3
2004 MAR,78.8
2004 APR,78.7
2004 MAY,78.9
2004 JUN,79.2
2004 JUL,79.1
2004 AUG,79.1
2004 SEP,79.4
2004 OCT,79.5
2004 NOV,79.5
2004 DEC,79.4
2005 JAN,80.1
2005 FEB,80.2
2005 MAR,79.9
2005 APR,81
2005 MAY,80.7
2005 JUN,81
2005 JUL,81.6
2005 AUG,81.5
2005 SEP,81.8
2005 OCT,81.9
2005 NOV,82.6
2005 DEC,83.2
2006 JAN,82.5
2006 FEB,82.7
2006 MAR,83.1
2006 APR,82.8
2006 MAY,83.1
2006 JUN,83.4
2006 JUL,82.8
2006 AUG,83.3
2006 SEP,83.6
2006 OCT,83.3
2006 NOV,83.5
2006 DEC,83.8
2007 JAN,84
2007 FEB,84.6
2007 MAR,84.9
2007 APR,84.9
2007 MAY,85
2007 JUN,85
2007 JUL,85.1
2007 AUG,85.8
2007 SEP,85.8
2007 OCT,85.6
2007 NOV,86.2
2007 DEC,86.6
2008 JAN,86.8
2008 FEB,86.9
2008 MAR,86.4
2008 APR,87
2008 MAY,86.3
2008 JUN,86.1
2008 JUL,85.4
2008 AUG,85.3
2008 SEP,84.4
2008 OCT,83.7
2008 NOV,82.9
2008 DEC,82.7
2009 JAN,82
2009 FEB,81.7
2009 MAR,80.9
2009 APR,81.8
2009 MAY,80.8
2009 JUN,81
2009 JUL,81.6
2009 AUG,81.2
2009 SEP,81.6
2009 OCT,81.6
2009 NOV,81.7
2009 DEC,82
2010 JAN,81.4
2010 FEB,82.8
2010 MAR,83.4
2010 APR,83.3
2010 MAY,83.6
2010 JUN,83.8
2010 JUL,83.9
2010 AUG,84.1
2010 SEP,84.3
2010 OCT,84.6
2010 NOV,84.4
2010 DEC,83.6
2011 JAN,83.9
2011 FEB,84.3
2011 MAR,84.5
2011 APR,83.8
2011 MAY,84.7
2011 JUN,84.7
2011 JUL,84.8
2011 AUG,84.5
2011 SEP,84.8
2011 OCT,84
2011 NOV,85
2011 DEC,85.6
2012 JAN,85.9
2012 FEB,85.2
2012 MAR,85.7
2012 APR,85.1
2012 MAY,86.3
2012 JUN,85.2
2012 JUL,86.6
2012 AUG,87
2012 SEP,85.9
2012 OCT,86.2
2012 NOV,86.4
2012 DEC,86.3
2013 JAN,86.2
2013 FEB,86.9
2013 MAR,86.9
2013 APR,86.8
2013 MAY,87.2
2013 JUN,87.3
2013 JUL,87.7
2013 AUG,87.9
2013 SEP,87.9
2013 OCT,88.5
2013 NOV,88.4
2013 DEC,88
2014 JAN,88.3
2014 FEB,89.1
2014 MAR,89.8
2014 APR,89.8
2014 MAY,90.1
2014 JUN,90.2
2014 JUL,90.7
2014 AUG,90.6
2014 SEP,91
2014 OCT,91.2
2014 NOV,91.2
2014 DEC,91.6
2015 JAN,91.3
2015 FEB,91.6
2015 MAR,91.8
2015 APR,92.3
2015 MAY,92.1
2015 JUN,92
2015 JUL,92.3
2015 AUG,92.3
2015 SEP,92.6
2015 OCT,93
2015 NOV,93
2015 DEC,93.1
2016 JAN,93.1
2016 FEB,93.4
2016 MAR,93.7
2016 APR,94.2
2016 MAY,94
2016 JUN,94.2
2016 JUL,94.6
2016 AUG,94.6
2016 SEP,94.9
2016 OCT,95.1
2016 NOV,95.3
2016 DEC,95.4
2017 JAN,95.8
2017 FEB,95.9
2017 MAR,96
2017 APR,96.2
2017 MAY,96.5
2017 JUN,96.6
2017 JUL,96.7
2017 AUG,97
2017 SEP,97.5
2017 OCT,97.5
2017 NOV,97.8
2017 DEC,97.4
2018 JAN,97.4
2018 FEB,97.4
2018 MAR,97.9
2018 APR,97.7
2018 MAY,98.1
2018 JUN,98.3
2018 JUL,98.5
2018 AUG,98.7
2018 SEP,98.8
2018 OCT,98.7
2018 NOV,99.1
2018 DEC,99
2019 JAN,99.3
2019 FEB,99.7
2019 MAR,99.7
2019 APR,99.3
2019 MAY,99.6
2019 JUN,99.9
2019 JUL,100.3
2019 AUG,100.3
2019 SEP,100.7
2019 OCT,100.5
2019 NOV,100.3
2019 DEC,100.4
2020 JAN,100.7
2020 FEB,100.2
2020 MAR,93.1
2020 APR,73.7
2020 MAY,76
2020 JUN,82.8
2020 JUL,88.9
2020 AUG,90.8
2020 SEP,91.8
2020 OCT,92.3
2020 NOV,90.7
2020 DEC,92.3
2021 JAN,89.5
2021 FEB,90.1
2021 MAR,92.3
2021 APR,95.2
2021 MAY,96.6
2021 JUN,97.6
2021 JUL,97.4
2021 AUG,98.2
2021 SEP,98.8
2021 OCT,99
2021 NOV,100
2021 DEC,100.1
2022 JAN,100.3
2022 FEB,100.4
2022 MAR,100.5
2022 APR,100.5
2022 MAY,101
2022 JUN,100.4
2022 JUL,100.7
2022 AUG,100.6
2022 SEP,100
2022 OCT,100.6
