CPIH,HousePrices
2.6,60698.40391
2.4,60698.40391
2.2,60698.40391
2.1,61946.00292
2.1,61946.00292
2.1,61946.00292
2.4,65092.12215
2.3,65092.12215
2.2,65092.12215
2.2,64603.93124
2.1,64603.93124
1.9,64603.93124
1.8,66231.23429
1.8,66231.23429
1.9,66231.23429
2.1,69757.05758
2.2,69757.05758
1.9,69757.05758
1.7,72794.68994
1.6,72794.68994
1.7,72794.68994
1.6,72469.22933
1.7,72469.22933
1.9,72469.22933
2,72903.17681
1.9,72903.17681
2.1,72903.17681
2,75995.05261
1.7,75995.05261
1.8,75995.05261
1.7,80443.0143
1.6,80443.0143
1.6,80443.0143
1.5,82504.26483
1.5,82504.26483
1.5,82504.26483
1.2,84619.7588
1.2,84619.7588
1,84619.7588
0.9,89230.45079
1,89230.45079
1.2,89230.45079
1.2,90911.99728
1,90911.99728
1.3,90911.99728
1.4,93624.16903
1.5,93624.16903
1.2,93624.16903
1.2,93135.97812
1.2,93135.97812
1.3,93135.97812
1.5,96499.07109
1.9,96499.07109
1.9,96499.07109
1.7,99970.65094
2.1,99970.65094
1.7,99970.65094
1.6,97963.64384
1.2,97963.64384
1.4,97963.64384
1.8,97623.26629
1.7,101164.0065
1.7,104704.7467
1.6,106121.0428
1.2,108852.471
1.1,113303.6873
1.4,114214.1634
1.3,116743.2635
1.2,119575.8557
1.5,120486.3318
1.6,121700.2998
1.7,125746.8601
1.4,124836.384
1.6,123521.252
1.6,126151.5161
1.5,129186.4363
1.3,128275.9603
1.2,128579.4523
1.3,130805.0604
1.4,133131.8326
1.3,132727.1765
1.3,135053.9487
1.3,133536.4886
1.3,136166.7528
1.5,136976.0648
1.4,135660.9327
1.2,135964.4248
1.1,142135.4292
1.4,143855.2173
1.5,146384.3174
1.4,149520.4016
1.4,151240.1897
1.2,150936.6977
1.3,152049.5018
1.5,151847.1738
1.8,150734.3697
1.7,150633.2057
1.7,150488.4315
2,151723.0387
1.9,153880.3389
1.9,155532.5123
2,156767.0554
2.3,158785.7129
2.4,159431.3031
2.5,159183.1158
2.4,158864.53
2.2,159337.332
2.1,160208.9727
2.2,159969.9131
2.2,160231.2181
2,161530.5709
2.2,165041.6836
2.4,166605.7664
2.6,168184.132
2.5,170604.4111
2.6,172036.6496
2.5,172738.0135
2.5,173749.7836
2.8,174644.4066
2.9,176819.0361
2.7,176757.9355
2.7,177261.0648
2.9,178636.4297
2.7,182242.6417
2.5,184330.399
2.5,186348.1192
2,188691.0297
2,189785.659
2,190031.91
2.3,189588.8194
2.2,189489.2023
2.3,189193.4909
2.4,185781.6316
2.6,184184.6548
2.6,182844.7577
3,183147.8404
3.3,184267.3681
3.7,181830.6502
4.2,179845.201
4.4,176092.3571
4.8,171659.5213
4.2,168177.1013
3.8,163446.9347
3,160954.2262
2.9,157233.924
3.1,155417.3852
2.8,154452.3806
2.3,155852.1556
2.1,158004.4662
1.7,159561.0605
1.6,162423.2686
1.4,164025.3201
1,165313.7701
1.2,166424.9027
1.5,166986.1487
2.1,168081.6091
2.6,167468.9299
2.1,167887.6822
2.4,167877.9508
2.7,170027.8904
2.5,170845.9251
2.4,171688.537
2.3,173427.1067
2.4,173417.4578
2.4,172972.0443
2.5,171044.7244
2.6,169013.1436
3.1,168702.7214
3.4,167300.2404
3.7,166415.1603
3.5,165648.5379
3.8,168218.06
3.8,167469.7143
3.6,167752.9093
3.8,169865.8121
3.9,169968.016
4.5,169543.5734
4.3,167673.168
4.1,167756.8878
3.7,167047.7706
3.2,165908.4809
3.1,165457.0798
3.1,165947.3274
2.8,167854.0205
2.5,168395.3676
2.3,170049.1636
2.4,170701.1966
2.3,170902.3776
2.1,170295.1292
2.4,169089.5181
2.4,169227.2509
2.4,168842.8434
2.4,167715.5946
2.5,167682.4598
2.5,168681.4684
2.2,170335.3686
2.4,171233.7538
2.6,172654.5105
2.5,174592.2607
2.4,175982.2931
2.4,176097.8275
2,175378.3971
1.9,176351.5657
1.9,177970.632
1.8,178182.1947
1.6,178921.4398
1.5,179536.8481
1.7,183531.6143
1.5,185476.4913
1.8,187077.4797
1.6,189709.2488
1.5,191932.1115
1.3,192138.056
1.3,191854.5777
1.1,191209.195
0.7,191669.3105
0.5,190664.9416
0.4,190827.1002
0.3,191537.2634
0.3,193224.7186
0.4,195313.124
0.3,196802.4578
0.5,200141.5615
0.4,201973.3647
0.2,202388.7291
0.2,202664.3387
0.4,204223.2345
0.5,204920.2481
0.6,205464.2926
0.6,205555.4075
0.8,207667.1658
0.7,208443.2286
0.7,210872.4183
0.8,212886.5299
0.9,215126.9772
1,215144.9613
1.3,214816.236
1.3,214106.8334
1.5,215113.0566
1.8,215499.8314
1.9,215242.5623
2.3,215697.4753
2.3,215236.3504
2.6,218641.5946
2.7,219953.663
2.6,221833.4783
2.6,224719.137
2.7,225738.1678
2.8,224895.0198
2.8,225092.3259
2.8,224452.6722
2.7,225329.9776
2.7,224543.7559
2.5,225131.191
2.3,223772.1802
2.2,225910.188
2.3,226833.8665
2.3,228355.3098
2.3,231187.016
2.4,231897.7019
2.2,231454.2502
2.2,231211.2302
2.2,230224.3035
2,229729.2591
1.8,228314.4927
1.8,227738.4642
1.8,227103.9623
2,228749.3498
1.9,229061.1192
1.9,230049.0452
2,232618.1464
1.7,233366.1371
1.7,233536.15
1.5,232919.4018
1.5,232096.426
1.4,231792.2947
1.8,231939.909
1.7,230609.0017
1.5,232683.8062
0.9,230317.758
0.7,231507.7098
0.8,234703.2452
1.1,236686.9285
0.5,238997.6916
0.7,241541.4024
0.9,243575.4827
0.6,246064.9811
0.8,247983.412
0.9,249689.5341
0.7,249586.1029
1,253505.551
1.6,250209.6713
2.1,251285.4804
2.4,265676.0755
2.1,252961.2289
3,260430.3852
2.9,269236.8944
3.8,264044.1865
4.6,268666.121
4.8,269422.5255
4.9,275419.5892
5.5,275411.414
6.2,277357.7286
7.8,280991.6568
7.9,283488.0933
8.2,287166.1887
8.8,293323.7216
8.6,295903.2088
